user_id,age,gender,year_of_study,sleep_hours,phone_hours,platform,social_frequency,daily_notifications,exercise_days,study_hours,content_type_1,content_type_2,mental_health_risk,sleep_disruption,mood_score,content_influence_score,misinformation_susceptibility
STU0000,0.8024718009957509,Female,0.017024171147864246,-0.5338183485802906,1.291387894613895,Twitter,Always,0.234985449708024,-0.08705822814034944,-0.10122422099493338,Gaming,Social,0.5024257615168088,1.720801482871793,1.8953719690602608,1.509967220228581,0.9129452229659673
STU0001,-0.3472012663334044,Female,-0.6923162933464787,0.22366382819772743,-2.0320994941905077,Twitter,Often,-0.3240046179887326,-0.08705822814034944,0.47095791206995224,Entertainment,Fitness,-0.6252367360407208,-1.519008511196153,1.8953719690602608,0.5584583059662308,1.0312641422803406
STU0002,1.185696156772136,Male,0.7263646356422071,1.1188700371172036,-1.3077496786818559,Facebook,Often,0.9337230343289697,1.4492634449246415,1.3552393904429578,News,Social,-0.37282641382196124,-1.275506362304092,-0.4488167582304493,-0.7969754709192539,-1.0593333042518236
STU0003,0.03602308944298066,Female,1.4357051001365502,-0.12064625215591727,0.3966028283973252,Twitter,Rarely,-1.4070478741511985,-1.1112726768503434,1.4072559479943108,News,Entertainment,2.2813585785193284,-0.0754737492487628,-1.0370122068486645,-0.40004699737157756,-0.5273429753044898
STU0004,0.8024718009957509,Male,-1.4016567578408217,0.9811460049757461,-1.4781849293897737,Facebook,Always,-0.42881525568187445,0.42504899621464753,0.8350738149294251,News,Fitness,1.0257679824993904,0.5656558891065174,-0.37061984687287797,1.2986762701497356,0.5246278674718015
STU0005,-0.7304256221097896,Male,1.4357051001365502,0.9122839889050168,-1.2225320533278967,YouTube,Rarely,-1.12755284030282,-0.5991654524953465,-1.2455884871247052,Educational,Entertainment,-0.5847477082445375,-0.034161802291545265,1.1692577921685268,1.464723904207283,-0.9926121091497333
STU0006,0.8024718009957509,Male,-0.6923162933464787,-1.9110586699948695,-0.5407910504962243,TikTok,Often,1.457776222794679,1.4492634449246415,-0.3092904512003466,Social,Fitness,-0.4839558730923366,0.8345807745876355,0.6180125324335597,-0.17569612101854298,0.94675062848436
STU0007,1.185696156772136,Male,1.4357051001365502,-0.9469904450046647,0.8226909551671204,Twitter,Always,-0.498689014143969,0.42504899621464753,-0.20525733609764,Entertainment,Educational,1.6671314121644636,0.9108489843548063,-0.03377161333257048,-0.6668426341157266,0.7861749522719959
STU0008,0.03602308944298066,Male,-1.4016567578408217,-1.5667485896412248,0.013123514304509382,TikTok,Often,-1.721479787230624,0.42504899621464753,-0.6213897965084659,Educational,News,-0.9702549409847931,-0.014300289331344517,-1.1534482671668065,-1.1645191103500048,-0.032716515614326695
STU0009,-0.3472012663334044,Female,-0.6923162933464787,2.082938262107409,0.18355876501242763,TikTok,Sometimes,-0.8480578064544418,0.9371562205696445,0.4189413545185992,Social,Entertainment,-1.5504540946173342,1.039551588336907,0.14496418405616388,0.8121940164361913,1.816350204648271
STU0010,1.185696156772136,Female,1.4357051001365502,0.01707777998554073,1.1209526439059767,TikTok,Often,0.13017481201488215,-0.08705822814034944,-1.6097043899841779,Social,Fitness,0.16946811804393996,0.9036988396891343,-0.44108299776651366,-0.7172166354590275,1.0183647112272702
STU0011,1.185696156772136,Female,0.7263646356422071,1.8763522138952218,-0.19992054908038823,YouTube,Always,1.31802870587049,-1.1112726768503434,1.8233884084051373,Fitness,News,-0.4077158952208001,-0.6236515069503034,-1.5968505337657823,-0.027839098557187535,0.4499001289574603
STU0012,-0.7304256221097896,Female,-0.6923162933464787,-1.6356106057119542,-0.37035579978830646,Instagram,Often,1.457776222794679,0.9371562205696445,1.3032228328916047,Fitness,Entertainment,0.400341723349836,0.42861144968113213,-0.8363640881454456,0.15033560989782116,-0.24622433994101572
STU0013,0.41924744521936574,Female,-0.6923162933464787,-0.60268036465102,0.4392116410743046,Twitter,Always,-1.372110994920151,-1.6233799012053403,0.5749910271726589,Entertainment,Gaming,0.6070942057133252,0.45840371912143324,0.48782756462397653,-0.55116900140148,0.17767765294093174
STU0014,0.03602308944298066,Female,0.7263646356422071,0.8434219728342881,-0.19992054908038823,Instagram,Rarely,0.8638492758668752,1.4492634449246415,0.0028088941077729977,Entertainment,Fitness,-0.7174138844277763,-0.7714211633741972,-0.8067180063670257,0.7510922185105207,-1.0980315974110362
STU0015,-1.1136499778861746,Male,0.017024171147864246,0.22366382819772743,1.5044319579987926,Instagram,Often,0.47954360432535503,1.4492634449246415,1.3552393904429578,Entertainment,Gaming,1.4664092105365765,1.081260765553329,1.367757644076208,1.1778719521134862,-1.7848150989952196
STU0016,1.185696156772136,Male,-1.4016567578408217,0.01707777998554073,-1.179923240650917,Instagram,Often,-0.5336258933750163,-1.1112726768503434,0.7830572573780721,Educational,Educational,-0.34956675955606875,-1.9793983816136067,1.384514125081402,1.646163594230839,-0.04783998650413368
